timestamp,total_gen_mw,total_emissions_kg,carbon_intensity
2019-07-07,103307.5,1020880500.0,407.67379153741535
2019-07-08,106687.5,1068475160.0,414.10722539613084
2019-07-09,110976.29166666667,1121788000.0,414.88186341477444
2019-07-10,119571.0,1240680740.0,427.2904433057741
2019-07-11,117270.95833333333,1223571000.0,433.3901317935535
2019-07-12,113313.08333333333,1167045320.0,426.03347280973213
2019-07-13,108724.83333333333,1102239340.0,417.843019037108
2019-07-14,110284.91666666667,1141600500.0,425.8428058411643
2019-07-15,117861.04166666667,1248540180.0,437.3592357336751
2019-07-16,121266.16666666667,1315016140.0,448.5833009343133
2019-07-17,124698.33333333333,1373273360.0,456.5698875214803
2019-07-18,122628.25,1327183840.0,448.8747240446033
2019-07-19,129672.33333333333,1427032100.0,454.8563867114654
2019-07-20,127163.5,1389304660.0,452.72171187298454
2019-07-21,121456.5,1331905860.0,453.90574240139176
2019-07-22,114596.54166666667,1209489380.0,438.123852213027
2019-07-23,101178.83333333333,1010535160.0,414.43298593028067
2019-07-24,102889.125,1044683540.0,419.3649784506909
2019-07-25,103743.5,1036565980.0,412.20046269644246
2019-07-26,106228.70833333333,1035638300.0,401.91897789096987
2019-07-27,104735.41666666667,999385600.0,392.78860115928455
2019-07-28,109199.70833333333,1087212260.0,409.0970424599698
2019-07-29,118837.66666666667,1229195420.0,426.1846756147149
2019-07-30,118476.20833333333,1250922580.0,436.78048100969653
2019-07-31,112708.29166666667,1164142500.0,427.8291365847355
2019-08-01,112107.45833333333,1144865220.0,422.569103069263
2019-08-02,109669.25,1083207000.0,408.89455699328124
2019-08-03,104381.0,1006292280.0,397.9272685725286
2019-08-04,104942.04166666667,1033400420.0,406.2181120162398
2019-08-05,112947.16666666667,1162551740.0,425.40587826678035
2019-08-06,112320.58333333333,1146274660.0,422.2804141102044
2019-08-07,112184.29166666667,1154233820.0,425.7639433071759
2019-08-08,112337.08333333333,1121178120.0,412.45551920076286
2019-08-09,106756.04166666667,1053601980.0,408.0963780718577
2019-08-10,96061.04166666667,913274420.0,392.96882162450373
2019-08-11,95343.70833333333,906708940.0,391.6828459035925
2019-08-12,109090.58333333333,1097394260.0,414.2161399789067
2019-08-13,111842.83333333333,1157347780.0,429.2753650451652
2019-08-14,111599.66666666667,1144219300.0,424.4141195200535
2019-08-15,109733.08333333333,1118537180.0,421.6575511042252
2019-08-16,109567.45833333333,1106732760.0,417.5072783611283
2019-08-17,106519.70833333333,1087738980.0,421.83781711551273
2019-08-18,108129.75,1108148380.0,422.1511872747654
2019-08-19,119726.83333333333,1275055900.0,438.6988910383681
2019-08-20,117419.33333333333,1244960540.0,438.95703462302134
2019-08-21,116528.41666666667,1240511440.0,440.10049438255834
2019-08-22,113046.70833333333,1166720860.0,427.18786175079066
2019-08-23,98769.625,918964100.0,386.6734597388758
2019-08-24,86134.5,715030580.0,344.7059792380192
2019-08-25,84322.625,690402880.0,339.00919776358757
2019-08-26,92379.75,811445980.0,363.7881455499434
2019-08-27,95662.33333333333,885484120.0,382.4431247019391
2019-08-28,97830.70833333333,878727180.0,372.19635357438455
2019-08-29,98384.83333333333,885023540.0,372.87637569528005
2019-08-30,99131.04166666667,911344940.0,379.71898601104385
2019-08-31,90109.83333333333,788247020.0,362.2988909724067
2019-09-01,87462.91666666667,752326980.0,356.3642975301993
2019-09-02,94287.0,855313580.0,373.77817316226395
2019-09-03,104038.95833333333,967358000.0,384.3911898894551
2019-09-04,106396.75,1017714360.0,394.647457073004
2019-09-05,97218.08333333333,937037040.0,400.29738673772704
2019-09-06,92237.0,835542760.0,375.90230657611545
2019-09-07,84953.375,752671420.0,366.403599051983
2019-09-08,84841.66666666667,771643760.0,376.2547686310006
2019-09-09,96199.16666666667,928337840.0,398.3656743938688
2019-09-10,105010.25,1041240000.0,408.1202557257029
2019-09-11,113779.0,1171025480.0,425.30641181520383
2019-09-12,112660.125,1173227380.0,431.83300809361407
2019-09-13,100705.16666666667,987474580.0,407.7476522817444
2019-09-14,90843.0,870940760.0,397.37538835378126
2019-09-15,90556.45833333333,851887040.0,387.48636499905984
2019-09-16,102043.58333333333,1022041940.0,412.99927331054346
2019-09-17,99760.70833333333,998597040.0,414.2405844231383
2019-09-18,94575.125,912463060.0,398.1631351957304
2019-09-19,92108.5,875935760.0,392.62806900988465
2019-09-20,93694.95833333333,900454620.0,396.21167437412805
2019-09-21,91501.45833333333,841877480.0,379.8592354987179
2019-09-22,95947.625,893123960.0,382.3160207711667
2019-09-23,102547.0,1022983740.0,412.11465578933235
2019-09-24,94195.33333333333,911969740.0,402.18486070304954
2019-09-25,90892.875,848881940.0,385.78715934052815
2019-09-26,92565.0,902454260.0,402.9631263826241
2019-09-27,90586.125,851329380.0,388.6305028571965
2019-09-28,90109.29166666667,859258880.0,393.9298665695783
2019-09-29,89612.95833333333,879033180.0,404.8091780455058
2019-09-30,97120.25,981914200.0,418.4126884418085
2019-10-01,104410.66666666667,1073963740.0,424.35484217760455
2019-10-02,109821.45833333333,1173568600.0,441.01055823640263
2019-10-03,98921.75,982070480.0,411.9069736483923
2019-10-04,86569.0,774264200.0,371.0274132715968
2019-10-05,76609.5,596277100.0,323.4987053815516
2019-10-06,76863.66666666667,616911720.0,332.42136892886646
2019-10-07,85568.41666666667,766109820.0,370.0028134056982
2019-10-08,82376.33333333333,737202460.0,370.99996084507455
2019-10-09,81970.875,719224000.0,363.5697915265041
2019-10-10,83197.375,732577620.0,364.35692739196514
2019-10-11,81105.08333333333,676529400.0,345.958041121555
2019-10-12,75015.79166666667,552208600.0,306.68620616066136
2019-10-13,74455.33333333333,560731000.0,312.91723482943576
2019-10-14,81522.75,694363940.0,352.9698971895345
2019-10-15,81600.33333333333,665154160.0,338.45865638409424
2019-10-16,83022.0,677227120.0,337.8074835603241
2019-10-17,81542.91666666667,695165080.0,353.7364273380745
2019-10-18,79912.91666666667,683107400.0,355.55863771644607
2019-10-19,73350.16666666667,615017540.0,349.1860650957176
2019-10-20,71851.29166666667,607120180.0,351.2145973468582
2019-10-21,77258.95833333333,632027220.0,340.4233456538819
2019-10-22,77832.75,633699920.0,337.7904609879843
2019-10-23,77676.91666666667,647920520.0,346.4807839235146
2019-10-24,79752.95833333333,708730720.0,368.99345885657044
