date,co2_coal_tons,co2_gas_tons,co2_nuclear_tons,co2_renewable_tons,co2_total_tons
2035-09-01,0.0,3000815.016782385,10017.04286436735,33339.92886725715,3044171.9885140094
2035-10-01,0.0,2287290.4898226475,11866.932639319817,33282.45536761927,2332439.8778295866
2035-11-01,0.0,2587101.5885016927,11149.787746669534,30975.874395333267,2629227.2506436957
2035-12-01,0.0,3061159.8579194164,12308.58721302515,35147.456321385136,3108615.9014538266
2036-01-01,0.0,3264668.615047903,13040.682635662513,37956.33487115355,3315665.6325547188
2036-02-01,0.0,3003132.6239216253,12132.349247132903,36663.616115249184,3051928.5892840074
2036-03-01,0.0,2976668.550821937,10660.661140219718,39573.66199257143,3026902.8739547282
2036-04-01,0.0,2247749.2300055926,12009.861126620002,38346.262145173176,2298105.3532773857
2036-05-01,0.0,2504675.6218243237,11321.035970996041,40942.26621543961,2556938.924010759
2036-06-01,0.0,3362758.2225964875,11389.446142561548,45137.96985312869,3419285.638592178
2036-07-01,0.0,3876954.239540299,11390.719729683877,48448.577243894404,3936793.536513877
2036-08-01,0.0,3814663.6366926003,11258.632489647702,46865.59843169929,3872787.8676139475
2036-09-01,0.0,3275506.7640014123,10554.504702585713,39437.760623431146,3325499.0293274294
2036-10-01,0.0,2507357.4265011437,12601.796165586275,39036.385182950515,2558995.607849681
2036-11-01,0.0,2827973.082827087,11797.021276001025,36694.65758468463,2876464.7616877723
2036-12-01,0.0,3333585.999116005,12964.290491152497,41635.18355262106,3388185.4731597784
2037-01-01,0.0,3549037.2036462203,13707.674044293975,44893.50110486978,3607638.378795384
2037-02-01,0.0,3267938.5532433325,12768.690307036937,43248.50247119645,3323955.746021566
2037-03-01,0.0,3238629.2400432294,11202.367753997532,46279.7777441758,3296111.3855414027
2037-04-01,0.0,2456613.134962612,12710.027659080983,44581.697067960675,2513904.8596896534
2037-05-01,0.0,2730291.8284751116,11934.672165457237,47540.90968366893,2789767.410324238
2037-06-01,0.0,3644686.47191869,11911.45041964078,52657.178919179445,3709255.10125751
2037-07-01,0.0,4189202.1767826113,11846.879761131437,56670.616606866985,4257719.673150609
2037-08-01,0.0,4121024.117259051,11713.687830590972,54893.15436589563,4187630.959455538
2037-09-01,0.0,3546122.285181924,11027.231306936721,46415.22207821906,3603564.7385670794
2037-10-01,0.0,2725921.1727448674,13272.111881857329,45578.78878350989,2784772.0734102344
2037-11-01,0.0,3066035.343149013,12379.049782802476,43247.42614244335,3121661.8190742587
2037-12-01,0.0,3601131.9725745274,13543.837532135636,49062.89808863212,3663738.708195295
2038-01-01,0.0,3827515.3889507013,14292.570702624082,52823.68193714103,3894631.6415904663
2038-02-01,0.0,3527909.4808120965,13330.417246013994,50765.32804280823,3592005.226100919
2038-03-01,0.0,3495977.920253376,11676.913913429082,53886.84895235455,3561541.6831191597
2038-04-01,0.0,2663515.6032195315,13344.517087460601,51620.84756836352,2728480.9678753554
2038-05-01,0.0,2952860.752137317,12482.165249887888,54981.981570965174,3020324.89895817
2038-06-01,0.0,3920010.2357728877,12359.051317415373,61167.54394095457,3993536.8310312573
2038-07-01,0.0,4492271.1285561295,12223.266603355663,65988.67224671207,4570483.067406197
2038-08-01,0.0,4418441.869379362,12090.926419822248,64001.76824233578,4494534.5640415205
2038-09-01,0.0,3810080.9904192383,11430.988841395174,54365.76072270443,3875877.739983338
2038-10-01,0.0,2940908.8668626687,13871.498325693366,52994.29801033303,3007774.663198695
2038-11-01,0.0,3299009.011506456,12890.450746756424,50723.3356915754,3362622.797944788
2038-12-01,0.0,3861238.614554087,14042.266912681092,57527.80129425162,3932808.68276102
