date,electricity_gwh,dc_energy_baseline_gwh,dc_energy_ai_gwh,dc_energy_adjusted_gwh,ai_multiplier,coal_pct,gas_pct,nuclear_pct,renewable_pct,renewable_share,intensity_factor,carbon_intensity,co2_coal_tons,co2_gas_tons,co2_nuclear_tons,co2_renewable_tons,co2_total_tons,grid_stress_pct,stress_penalty_pts,grid_stress_adjusted_pct
2032-12-01,26782.648952760275,6695.662238190069,14431.50534762859,14462.296699382747,2.1553514550533284,0.0,73.25788575473004,16.074013096966596,10.668101148303364,0.10668101148303365,1.0021336202296607,0.6714545920222311,0.0,4820621.621062478,11623.357327904754,23142.786603868357,4855387.764994251,53.99875391299646,0.9499376956498232,54.948691608646286
2033-01-01,26759.6143607826,6689.90359019565,14477.83860880621,14508.761878863017,2.164132623678482,0.0,73.2459165591786,16.07456459399709,10.679518846824324,0.10679518846824325,1.002135903769365,0.6713491528019723,0.0,4835319.406900672,11661.101500035305,23241.98938941058,4870222.497790118,54.21887506767007,0.9609437533835035,55.17981882105357
2033-02-01,26735.393698790987,6683.848424697747,14523.66554616611,14554.728012833988,2.17294956787158,0.0,73.23159648134413,16.074661443302997,10.69374207535288,0.1069374207535288,1.0021387484150706,0.6712231167471677,0.0,4849690.157728664,11698.116260283228,23346.676101924004,4884734.950090871,54.439924007897346,0.9719962003948673,55.411920208292216
2033-03-01,26712.13680290517,6678.0342007262925,14570.151269384323,14601.354046867249,2.181802433386714,0.0,73.2172440061722,16.074981961140853,10.707774032686968,0.10707774032686969,1.0021415548065373,0.6710967508620872,0.0,4864272.604418451,11735.8251455811,23452.199955767086,4899460.629519799,54.6618720718712,0.9830936035935601,55.64496567546476
2033-04-01,26689.06916811704,6672.26729202926,14616.878352107877,14648.220960841647,2.190691366571796,0.0,73.20310723714805,16.075517111104293,10.721375651747673,0.10721375651747672,1.0021442751303495,0.6709722402646819,0.0,4878943.568726186,11773.886335162322,23557.361932648128,4914274.8169939965,54.884720289685184,0.9942360144842592,55.87895630416944
2033-05-01,26666.5787246067,6666.644681151675,14664.06173610468,14695.544837573188,2.19961651437098,0.0,73.18903822060956,16.076179685902176,10.734782093488278,0.10734782093488278,1.0021469564186976,0.6708483004041836,0.0,4893765.207193706,11812.410969552935,23663.020736465216,4929240.638899724,55.108474879129545,1.0054237439564773,56.11389862308602
2033-06-01,26644.42498851143,6661.106247127857,14711.572875114443,14743.196215379665,2.2085780243270845,0.0,73.17525310606803,16.07697011517768,10.747776778754286,0.10747776778754287,1.002149555355751,0.6707268333103631,0.0,4908708.871670382,11851.296247842976,23768.487289241348,4944328.655207466,55.33313712619676,1.0166568563098382,56.3497939825066
2033-07-01,26622.60078638079,6655.6501965951975,14759.410437100556,14791.173914906523,2.2175760445840385,0.0,73.16173919199824,16.07784529502079,10.760415512980977,0.10760415512980977,1.0021520831025963,0.6706077358305803,0.0,4923773.437791747,11890.510296780703,23873.876587373958,4959537.824675902,55.558711312957755,1.0279355656478877,56.58664687860564
2033-08-01,26601.191383359477,6650.297845839869,14807.624500605145,14839.528582299705,2.226610723889327,0.0,73.14839531875195,16.078748544446135,10.772856136801904,0.10772856136801905,1.0021545712273603,0.6704901290961278,0.0,4938969.049022998,11930.052429645912,23979.615983261196,4974878.717435905,55.785202882238785,1.0392601441119393,56.82446302635073
2033-09-01,26580.010744066734,6645.002686016684,14856.114301138137,14888.159034648785,2.235682211596451,0.0,73.13530020132842,16.079667837725363,10.78503196094622,0.1078503196094622,1.0021570063921892,0.6703747082041451,0.0,4954267.411020923,11969.832599619118,24085.390654250605,4990322.634274794,56.012614810444205,1.0506307405222104,57.063245550966414
