datetime_utc,respondent,demand_mwh
2019-01-17T19,PJM,104378.0
2019-01-17T20,PJM,104003.0
2019-01-17T21,PJM,104447.0
2019-01-17T22,PJM,105487.0
2019-01-17T23,PJM,109769.0
2019-01-18T00,PJM,111087.0
2019-01-18T01,PJM,109987.0
2019-01-18T02,PJM,107992.0
2019-01-18T03,PJM,104228.0
2019-01-18T04,PJM,99156.0
2019-01-18T05,PJM,95421.0
2019-01-18T06,PJM,93081.0
2019-01-18T07,PJM,91048.0
2019-01-18T08,PJM,90460.0
2019-01-18T09,PJM,90554.0
2019-01-18T10,PJM,91986.0
2019-01-18T11,PJM,94559.0
2019-01-18T12,PJM,100676.0
2019-01-18T13,PJM,105610.0
2019-01-18T14,PJM,106308.0
2019-01-18T15,PJM,105644.0
2019-01-18T16,PJM,104621.0
2019-01-18T17,PJM,103425.0
2019-01-18T18,PJM,101977.0
2019-01-18T19,PJM,100564.0
2019-01-18T20,PJM,99329.0
2019-01-18T21,PJM,98592.0
2019-01-18T22,PJM,99280.0
2019-01-18T23,PJM,103222.0
2019-01-19T00,PJM,104701.0
2019-01-19T01,PJM,103233.0
2019-01-19T02,PJM,101535.0
2019-01-19T03,PJM,98582.0
2019-01-19T04,PJM,94716.0
2019-01-19T05,PJM,90993.0
2019-01-19T06,PJM,88514.0
2019-01-19T07,PJM,86416.0
2019-01-19T08,PJM,86087.0
2019-01-19T09,PJM,85685.0
2019-01-19T10,PJM,85774.0
2019-01-19T11,PJM,86906.0
2019-01-19T12,PJM,88839.0
2019-01-19T13,PJM,92100.0
2019-01-19T14,PJM,94949.0
2019-01-19T15,PJM,97283.0
2019-01-19T16,PJM,98601.0
2019-01-19T17,PJM,98787.0
2019-01-19T18,PJM,98407.0
2019-01-19T19,PJM,97565.0
2019-01-19T20,PJM,96886.0
2019-01-19T21,PJM,97064.0
2019-01-19T22,PJM,98602.0
2019-01-19T23,PJM,102012.0
2019-01-20T00,PJM,102809.0
2019-01-20T01,PJM,101272.0
