nan,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990,percent_share_2000,percent_share_2010,percent_share_2020,percent_share_2024
..Natural gas - CC,8910.1,8898.8,8972.2,8878.8,8877.1,8868.0,9233.4,7658.9,6860.1,5414.4,5318.4,3846.2,3969.3,3962.9,3380.9,3367.2,3367.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,31.8,30.6
..Natural gas - GT,4212.0,4245.9,4249.3,4245.3,4245.3,4245.3,4245.3,3894.3,3894.3,3894.1,3879.1,3877.6,3877.6,3879,3879,3847.9,3662.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.1,15.2,14.5
..Natural gas - IC,3.0,1.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0
..Natural gas - ST,587.8,580.8,580.8,580.8,1368.4,578.4,1072.0,1066.9,1044.5,584.7,557.5,546.9,320.7,320.7,320.7,320.7,320.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.3,4.9,2.0
Other,,,,96.0,96.0,96.0,,,,.,96,96,.,.,.,.,.,.,.,.,.,.,.,561,206,206,206,129,129,.,.,.,257,62,62,1,.,0.3,
Other biomass,223.6,298.9,305.5,307.9,309.3,309.3,314.3,314.3,314.3,312.7,306.1,303.4,303.4,294.6,289.7,277.7,269.3,254,170,168,168,168,168,168,219,210,212,218,218,163,163,159,153,150,147,1.1,1.2,1.1,0.8
Petroleum,741.6,737.2,1536.4,1549.5,760.9,2340.8,2342.9,2346.6,2350.0,2343.3,2340.3,2337.2,2368.7,2370,2431.7,2427.3,2418.3,2418,2386,2390,2437,2422,2442,2541,2362,2231,2231,3016,2210,1390,2705,2799,2759,2912,2752,12,10.1,2.7,2.5
..Petroleum - GT,607.4,604.2,607.4,620.5,621.1,623.8,624.5,625.6,626.0,626.5,627.1,624,622.4,623.7,684.2,677.1,677.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.8,2.2,2.1
..Petroleum - IC,134.2,133.0,139.0,139.0,139.8,141.0,142.4,145.0,148.0,140.8,137.2,137.2,142.3,142.3,143.5,146.2,137.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,0.5,0.5
Solar,4678.4,3658.6,2792.9,2137.1,1235.0,556.1,392.5,346.7,103.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,4.4,16.1
..Solar- PV,4678.4,3658.6,2792.9,2137.1,1235.0,556.1,392.5,346.7,103.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.4,16.1
Wood,489.7,496.7,496.7,495.6,495.6,495.6,578.1,578.1,578.1,578.1,578.1,578.1,363.4,363.4,330.9,409.1,422.1,418,410,409,404,404,414,402,354,424,424,396,429,399,433,349,349,349,340,1.8,1.4,1.8,1.7
"Other biomass includes agricultural byproducts, landfill gas, biogenic municipal solid waste, other biomass (solid, liquid and gas) and sludge waste.
Other gases includes blast furnace gas, and other manufactured and waste gases derived from fossil fuels.
Other includes non-biogenic municipal solid waste, batteries, chemicals, hydrogen, pitch, purchased steam, sulfur, tire-derived fuels, waste heat and miscellaneous technologies.
Data Source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
